feature	Lisbon	Barcelona	Berlin	Hong_Kong	Porto	Santiago	Singapore	Sofia	Taipei	Vienna	Bogota	Hanoi	Ilorin	Kuala_Lumpur	Oslo	Rio_de_Janeiro
Drug and biocide SMR efflux pumps,MDTI	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0
Drug and biocide SMR efflux pumps,MDTJ	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0
Drug and biocide SMR efflux pumps,QACE	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1
Drug and biocide SMR efflux pumps,QACEDELTA1	1	1	0	1	1	0	1	1	1	0	1	1	1	1	0	1
Drug and biocide SMR efflux pumps,QACF	0	1	1	1	0	0	1	1	1	1	0	0	0	1	1	0
Drug and biocide SMR efflux pumps,QACG	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Drug and biocide SMR efflux pumps,QACH	1	1	1	0	0	0	0	1	0	1	0	0	0	1	0	0
Drug and biocide SMR efflux pumps,QACL	1	0	1	1	0	0	1	0	1	1	0	0	0	1	0	0
Drug and biocide SMR efflux regulator,PHOR	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0
Drug and biocide and metal RND efflux pumps,ACRD	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
Drug and biocide and metal RND efflux pumps,MDTA	0	0	0	1	0	0	1	0	1	0	1	1	1	1	0	0
Drug and biocide and metal RND efflux pumps,MDTB	0	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0
Drug and biocide and metal RND efflux pumps,MDTC	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0
Drug and biocide and metal RND efflux pumps,ROBA	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	1
Drug and biocide and metal RND efflux regulator,BAER	0	0	0	1	1	0	1	0	0	0	1	1	1	1	0	0
Drug and biocide and metal RND efflux regulator,BAES	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0
Drug and biocide and metal resistance regulator,SOXS	0	0	0	1	1	1	1	0	1	0	1	1	1	1	0	0
EF-Tu inhibition,TUFAB	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
Fluoroquinolone-resistant DNA topoisomerases,GYRA	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0
Fluoroquinolone-resistant DNA topoisomerases,GYRB	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0
Fluoroquinolone-resistant DNA topoisomerases,PARC	0	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0
Fluoroquinolone-resistant DNA topoisomerases,PAREF	0	0	0	1	0	0	1	0	1	0	1	1	0	0	0	0
Fosfomycin target mutation,GLPT	1	0	0	1	0	0	1	0	1	0	1	1	0	1	0	0
Fosfomycin target mutation,MURA	1	0	0	1	1	1	1	0	1	0	1	1	0	1	0	0
Fosfomycin target mutation,PTSL	1	0	0	1	1	1	1	0	1	1	1	1	0	1	0	0
Fosfomycin target mutation,UHPT	1	0	0	1	0	0	1	0	1	1	1	1	1	1	0	1
Fosfomycin thiol transferases,FOSA	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
Lincosamide nucleotidyltransferases,LNUA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
Lincosamide nucleotidyltransferases,LNUB	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0
Lincosamide nucleotidyltransferases,LNUC	1	1	1	1	1	1	1	0	1	0	1	1	0	1	0	0
Lipid A modification,EPTA	0	0	1	1	0	1	1	0	1	0	1	1	0	0	0	1
