"Sample1","Sample2","shared_ARGs_a","unique_ARGs_sample1_b","unique_ARGs_sample2_c","Total_Jaccard","Turnover","Nestedness","City1","Environment1","City2","Environment2","Pair_type"
"Hong_Kong_Sewage","Sofia_Transit",17,220,16,0.932806324110672,0.653061224489796,0.279745099620876,"Hong_Kong","Sewage","Sofia","Transit","Sewage-Transit"
"Hong_Kong_Sewage","Taipei_Transit",15,222,15,0.94047619047619,0.666666666666667,0.273809523809524,"Hong_Kong","Sewage","Taipei","Transit","Sewage-Transit"
"Hong_Kong_Sewage","Vienna_Transit",20,217,15,0.920634920634921,0.6,0.320634920634921,"Hong_Kong","Sewage","Vienna","Transit","Sewage-Transit"
"Porto_Sewage","Santiago_Sewage",49,40,28,0.581196581196581,0.533333333333333,0.0478632478632479,"Porto","Sewage","Santiago","Sewage","Sewage-Sewage"
"Porto_Sewage","Singapore_Sewage",79,10,158,0.680161943319838,0.202020202020202,0.478141741299636,"Porto","Sewage","Singapore","Sewage","Sewage-Sewage"
"Porto_Sewage","Sofia_Sewage",42,47,16,0.6,0.432432432432432,0.167567567567568,"Porto","Sewage","Sofia","Sewage","Sewage-Sewage"
"Porto_Sewage","Taipei_Sewage",69,20,134,0.690582959641256,0.36697247706422,0.323610482577035,"Porto","Sewage","Taipei","Sewage","Sewage-Sewage"
"Porto_Sewage","Vienna_Sewage",50,39,40,0.612403100775194,0.609375,0.00302810077519378,"Porto","Sewage","Vienna","Sewage","Sewage-Sewage"
"Porto_Sewage","Bogota_Sewage",56,33,126,0.73953488372093,0.540983606557377,0.198551277163553,"Porto","Sewage","Bogota","Sewage","Sewage-Sewage"
"Porto_Sewage","Hanoi_Sewage",71,18,142,0.692640692640693,0.336448598130841,0.356192094509852,"Porto","Sewage","Hanoi","Sewage","Sewage-Sewage"
"Porto_Sewage","Ilorin_Sewage",27,62,38,0.78740157480315,0.737864077669903,0.0495374971332467,"Porto","Sewage","Ilorin","Sewage","Sewage-Sewage"
"Porto_Sewage","Kuala_Lumpur_Sewage",68,21,106,0.651282051282051,0.381818181818182,0.269463869463869,"Porto","Sewage","Kuala_Lumpur","Sewage","Sewage-Sewage"
"Porto_Sewage","Oslo_Sewage",35,54,13,0.656862745098039,0.426229508196721,0.230633236901318,"Porto","Sewage","Oslo","Sewage","Sewage-Sewage"
"Porto_Sewage","Rio_de_Janeiro_Sewage",36,53,28,0.692307692307692,0.608695652173913,0.0836120401337792,"Porto","Sewage","Rio_de_Janeiro","Sewage","Sewage-Sewage"
"Porto_Sewage","Barcelona_Transit",9,80,4,0.903225806451613,0.470588235294118,0.432637571157495,"Porto","Sewage","Barcelona","Transit","Sewage-Transit"
"Porto_Sewage","Berlin_Transit",10,79,15,0.903846153846154,0.75,0.153846153846154,"Porto","Sewage","Berlin","Transit","Sewage-Transit"
"Porto_Sewage","Bogota_Transit",16,73,7,0.833333333333333,0.466666666666667,0.366666666666667,"Porto","Sewage","Bogota","Transit","Sewage-Transit"
"Porto_Sewage","Hanoi_Transit",25,64,41,0.807692307692308,0.766355140186916,0.0413371675053918,"Porto","Sewage","Hanoi","Transit","Sewage-Transit"
"Porto_Sewage","Hong_Kong_Transit",19,70,14,0.815533980582524,0.595744680851064,0.21978929973146,"Porto","Sewage","Hong_Kong","Transit","Sewage-Transit"
"Porto_Sewage","Ilorin_Transit",29,60,19,0.731481481481482,0.567164179104478,0.164317302377004,"Porto","Sewage","Ilorin","Transit","Sewage-Transit"
"Porto_Sewage","Kuala_Lumpur_Transit",27,62,44,0.796992481203007,0.765217391304348,0.0317750898986596,"Porto","Sewage","Kuala_Lumpur","Transit","Sewage-Transit"
"Porto_Sewage","Lisbon_Transit",19,70,6,0.8,0.387096774193548,0.412903225806452,"Porto","Sewage","Lisbon","Transit","Sewage-Transit"
"Porto_Sewage","Oslo_Transit",11,78,5,0.882978723404255,0.476190476190476,0.406788247213779,"Porto","Sewage","Oslo","Transit","Sewage-Transit"
"Porto_Sewage","Porto_Transit",15,74,2,0.835164835164835,0.210526315789474,0.624638519375362,"Porto","Sewage","Porto","Transit","Sewage-Transit"
"Porto_Sewage","Rio_de_Janeiro_Transit",21,68,17,0.80188679245283,0.618181818181818,0.183704974271012,"Porto","Sewage","Rio_de_Janeiro","Transit","Sewage-Transit"
"Porto_Sewage","Santiago_Transit",8,81,3,0.91304347826087,0.428571428571429,0.484472049689441,"Porto","Sewage","Santiago","Transit","Sewage-Transit"
"Porto_Sewage","Singapore_Transit",11,78,3,0.880434782608696,0.352941176470588,0.527493606138107,"Porto","Sewage","Singapore","Transit","Sewage-Transit"
"Porto_Sewage","Sofia_Transit",19,70,14,0.815533980582524,0.595744680851064,0.21978929973146,"Porto","Sewage","Sofia","Transit","Sewage-Transit"
"Porto_Sewage","Taipei_Transit",16,73,14,0.844660194174757,0.636363636363636,0.208296557811121,"Porto","Sewage","Taipei","Transit","Sewage-Transit"
"Porto_Sewage","Vienna_Transit",19,70,16,0.819047619047619,0.627450980392157,0.191596638655462,"Porto","Sewage","Vienna","Transit","Sewage-Transit"
"Santiago_Sewage","Singapore_Sewage",69,8,168,0.718367346938775,0.188235294117647,0.530132052821128,"Santiago","Sewage","Singapore","Sewage","Sewage-Sewage"
"Santiago_Sewage","Sofia_Sewage",39,38,19,0.59375,0.493506493506494,0.100243506493506,"Santiago","Sewage","Sofia","Sewage","Sewage-Sewage"
