feature	Lisbon	Barcelona	Berlin	Hong_Kong	Porto	Santiago	Singapore	Sofia	Taipei	Vienna	Bogota	Hanoi	Ilorin	Kuala_Lumpur	Oslo	Rio_de_Janeiro
Drug and biocide and metal RND efflux pumps,MDTB	0	0	0	108	0	0	86	0	59	0	79	56	0	0	0	0
Drug and biocide and metal RND efflux pumps,MDTC	0	0	0	107	0	0	92	0	64	0	57	74	0	52	0	0
Drug and biocide and metal RND efflux pumps,ROBA	0	0	0	30	0	0	20	0	0	0	24	33	0	0	0	10
Drug and biocide and metal RND efflux regulator,BAER	0	0	0	24	7	0	32	0	0	0	14	14	12	11	0	0
Drug and biocide and metal RND efflux regulator,BAES	0	0	0	51	0	0	22	0	19	0	0	21	0	13	0	0
Drug and biocide and metal resistance regulator,SOXS	0	0	0	6	3	2	10	0	6	0	8	5	5	3	0	0
EF-Tu inhibition,TUFAB	149	40	101	276	142	144	442	201	138	188	77	912	0	207	137	53
Fluoroquinolone-resistant DNA topoisomerases,GYRA	0	0	0	183	0	0	170	0	40	0	36	87	0	13	0	0
Fluoroquinolone-resistant DNA topoisomerases,GYRB	0	0	0	110	0	0	164	0	62	0	0	75	0	81	0	0
Fluoroquinolone-resistant DNA topoisomerases,PARC	0	0	0	105	0	0	152	0	45	0	21	74	0	64	0	0
Fluoroquinolone-resistant DNA topoisomerases,PAREF	0	0	0	40	0	0	39	0	37	0	40	35	0	0	0	0
Fosfomycin target mutation,GLPT	25	0	0	49	0	0	45	0	32	0	36	38	0	31	0	0
Fosfomycin target mutation,MURA	15	0	0	42	11	12	37	0	31	0	29	30	0	23	0	0
Fosfomycin target mutation,PTSL	33	0	0	129	22	17	111	0	70	25	56	71	0	45	0	0
Fosfomycin target mutation,UHPT	19	0	0	77	0	0	74	0	59	27	65	47	15	45	0	23
Fosfomycin thiol transferases,FOSA	0	0	0	5	0	0	5	0	0	0	0	0	0	0	0	0
Lincosamide nucleotidyltransferases,LNUA	0	0	0	5	0	0	0	0	0	0	0	0	0	0	7	0
Lincosamide nucleotidyltransferases,LNUB	0	0	23	0	0	0	0	0	0	12	0	0	27	0	0	0
Lincosamide nucleotidyltransferases,LNUC	5	4	6	5	6	11	15	0	21	0	10	9	0	12	0	0
Lipid A modification,EPTA	0	0	17	45	0	21	31	0	44	0	57	43	0	0	0	19
Lipid A modification,PMRF	7	0	0	24	10	0	21	0	9	0	20	14	0	19	0	0
Lipid A modification,UGD	0	0	0	22	0	0	0	0	0	0	27	10	0	0	0	0
MDR mutant porin proteins,OMPK	0	0	0	0	0	0	27	0	12	0	10	0	0	0	0	0
MLS resistance ABC efflux pumps,LSA	40	87	159	0	10	0	0	17	71	130	90	17	79	0	0	0
MLS resistance ABC efflux pumps,MSRD	452	59	65	64	178	0	56	41	64	173	31	0	0	44	0	0
MLS resistance ABC efflux pumps,MSRE	1252	468	201	128	617	480	231	791	165	612	25	340	49	138	268	131
MLS resistance MFS efflux pumps,MEFA	194	41	0	41	75	0	50	0	21	47	0	0	0	0	29	0
MLS resistance MFS efflux pumps,MEFB	22	0	0	0	0	0	17	0	48	0	48	0	37	0	0	0
MLS resistance MFS efflux pumps,MEFC	109	59	0	59	69	50	41	61	26	68	17	0	0	41	74	44
MLS resistance MFS efflux pumps,MEFE	0	0	0	24	0	0	0	0	0	0	0	0	0	0	15	0
MLS resistance MFS efflux pumps,MEFJ	71	51	0	0	0	0	0	84	0	179	0	0	0	0	97	0
Macrolide esterases,EREA	15	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0
Macrolide esterases,ERED	36	25	0	56	0	0	21	26	78	19	0	24	0	37	24	0
Macrolide phosphotransferases,MPHA	34	0	0	9	0	0	0	0	6	0	0	9	0	0	0	0
Macrolide phosphotransferases,MPHB	5	0	0	13	4	4	11	0	7	0	13	10	0	0	0	0
Macrolide phosphotransferases,MPHE	630	285	88	62	305	211	102	382	79	303	0	156	14	66	138	44
Macrolide phosphotransferases,MPHG	84	31	10	49	47	28	27	43	30	47	19	0	8	27	54	35
Macrolide-resistant 23S rRNA mutation,MLS23S	12440	4634	5962	9333	12240	10950	13639	11697	12136	10819	2079	20547	1279	6777	10207	3384
Mercury resistance protein,MERA	355	151	233	119	422	278	240	191	193	233	19	169	109	418	128	76
Mercury resistance protein,MERC	8	0	0	3	0	4	0	0	0	0	11	0	6	0	6	0
Mercury resistance protein,MERE	24	11	25	12	22	20	12	14	7	15	0	9	7	32	2	7
Mercury resistance protein,MERF	10	6	6	2	21	10	2	8	3	6	0	3	0	5	3	3
Mercury resistance protein,MERP	27	15	24	6	26	12	26	12	9	16	6	4	10	30	11	0
Mercury resistance protein,MERT	49	32	35	35	87	41	46	48	0	45	3	14	23	62	26	13
Mercury resistance regulator,MERD	79	30	33	3	72	59	47	22	39	28	11	18	8	62	19	6
Mercury resistance regulator,MERR	69	28	50	35	62	51	26	40	47	38	0	13	39	71	29	14
Mercury resistance regulator,MERR1	0	0	6	0	0	0	8	0	5	0	0	0	0	0	0	0
Mercury resistance regulator,MERR2	0	0	0	4	0	0	7	6	0	0	0	0	0	0	11	0
Multi-biocide RND efflux pump,TOLC	0	0	0	14	0	0	18	0	0	0	18	0	0	1	0	0
Multi-biocide SMR efflux pump,SUGE	0	0	0	14	0	3	0	0	3	0	11	9	0	0	0	4
Multi-biocide resistance protein,YJCG	0	0	0	70	0	20	66	0	53	21	47	44	0	39	0	0
Multi-biocide resistance regulator,OXYRKP	0	0	0	44	0	0	74	0	33	0	0	34	0	26	0	0
Multi-biocide resistance regulator,RPOS	10	0	0	37	13	0	54	0	19	8	41	26	0	18	0	0
Multi-biocide resistance regulator,SOXRB	0	0	0	13	0	0	12	0	8	7	11	4	0	0	0	0
Multi-biocide resistance regulator,YDEO	0	0	0	18	0	0	9	0	9	0	16	10	0	12	0	0
Multi-drug ABC efflux pumps,LPTD	0	0	0	69	0	0	124	0	45	0	0	61	0	43	0	0
Multi-drug ABC efflux pumps,LSAE	16	39	48	0	0	0	0	0	15	27	25	0	30	0	0	0
Multi-drug ABC efflux pumps,MSBA	0	0	0	33	0	0	39	0	32	18	50	30	0	23	0	0
Multi-drug RND efflux pumps,HNS	0	0	0	14	3	0	10	0	9	5	9	7	0	0	0	0
Multi-drug RND efflux regulator,ASMA	0	0	24	96	0	0	122	0	60	0	44	80	0	32	0	0
Multi-drug RND efflux regulator,RAMR	0	0	0	8	0	0	29	0	0	0	0	0	0	9	0	0
